label;claude_sent;gpt_sent;gpt_sent_2;lyrics
ethereal;;;Complex and Mysterious;"
Oh my one, I'm so happy
That you've got so far
I know the good, the great
Is working you like a charm

Oh my one, rushing away
With a bag full of bones
I know the place you left
Still won't leave you alone

The crow, the cat, the bird and the bee
I'm sure they would agree
That my one is falling for tricks,
Smoke and mirrors playing your wit

A hue and cry waiting to blow
Under your skin, wherever you go
Still I wish that I knew
The taste of something that good"
cheerful;Positive/Uplifting;Positive Emotions;Positive Sentiments;"The neon lights shine on the cars
And people rushing by
Through the fog in the chill of the night
And the rain comes pouring down
And suddenly I see her face
Coming through the crowd
Hello, how are you
It's good to see you here
Though you're late
I just wait like before
Hello, how are you
And ah, you're looking grand
With the way-ay you'll look evermore
The water-filled hole in my shoe
And the lonesome dollar in my hand
If I'd to stand here forever I'd stand
And the rain comes pouring down
Hello, how are you
It's good to see you here
Though you're late
I just wait like before
(Do you come in love or hate)
Hello, how are you
And ah, you're looking grand
(ohohohohohoh)
With the way that you'll look evermore
(do you, do you)
Hello, how are you
It's good to see you here
(ohohohohohoh)
Though you're late
I just wait like before"
romantic;Pensive/Emotional;;Energetic and Exciting;"
There is no way I'm looking for a boyfriend
There is no way I'm looking for a scene
I need to save some dough
I'm a working girl, you know
I'll fend attention off, I keep to myself

I love my room, I'm getting used to sleeping
Some nights I really like to lie awake
I hear the midnight birds
The message in their words
The dawn will touch me in a way a boy could never touch
Their promise never meant so much to me

You have been warned, I'm born to be contrary
Backward at school, I wrote from right to left
Teacher never cared for me
Preacher said a prayer for me
God help the girl
She needs all the help she can get

I sit for hours just waiting for his phone call
I'll eat the chocolate hidden in the fridge
I'll play his messages
Analyze his intonation
Please stop me there, I'm even boring myself

I think of him when I'm doing the dishes
I think of him while looking in the sink
This ain't no play on words
My love for him's absurd
If he gave me a sign, I'd think about it for a week
I'd build it up and then I'd turn him down

You have been warned, I'm born to be contrary
Backward at school, I wrote from right to left
Teacher never cared for me
Preacher said a prayer for me
God help the girl
She needs all the help she can get"
sexual;;;Energetic and Exciting;"Who is the fly in your champagne
Whose got the body and whose got the brain
I'll take your blood and I'll kill my pain
You are the one that I desire, you are the dark I'm the vampire (vampire)
Who is the spy in your campaign
Is it the wife or is it your advisor
I wanna suck the blood from their veins
You are the 1 that I despise, you are the light I'm the vampire (vampire)
Oh well u know you'll never find an easy way
Oh bet u know wanna ride the new wave yeah
Who is the fly in your champagne
Whose got the body and whose got the brain
Let me taste your blood cause I'm in pain
You are the 1 that I desire, you are the dark I'm the vampire (vampire)
Women and children all disclaim
You're not the wiser, you're not to blame
Stick em in a casket next 2 mine
Then we will see who is alive
Then we will see the vampire (vampire)
Oh well you know you'll never find an easy way
It's in your head
The devil says when it's over (over)
You sound like him
Its got me till
Now its over
Yeah it's over yeah
Who is the fly in your champagne
Whose got the body and whose got the brain
Ate your blood and I kill my pain
You are the dark I'm the vampire"
sardonic;;Humor and Playfulness;Complex and Mysterious;"Frank Zappa (lead guitar, vocals)
Steve Vai (guitar)
Ray White (rhythm guitar, vocals)
Tommy Mars (keyboards)
Bobby Martin (keyboards, saxophone, vocals)
Ed Mann (percussion)
Chad Wackerman (drums)
Roy Estrada (vocals)
Ike Willis (vocals)
Bob Harris (vocals)
Patrick O'Hearn (bass)
I come from nowhere
And you should go there
Just try it for a while
The people from nowhere
Always smile
Their eyes are all frozen over
The sides of their faces pooch out at the corners
Because that's what happens when their mouths turn up
On both sides
Which is why we can tell they're smiling
They never frown
They never let their eyebrows turn down
They like going around with their teeth showing
All the time
They are from nowhere
Your teeth are showing
So maybe you been there
You could have the disease of nowhere people
Where the air gets stuck all over their gums
When their nowhere lips roll back
For real excitement
They stand still
They shut up
Then they don't do nothing
Out there in nowhere"
fun;Positive/Uplifting;Positive Emotions;Positive Sentiments;"
It started all in early September
When my God-given little became a lot older
Oh, goodbyes seal my broken heart
Hold on to your teardrops, you got a long way to go
Did you get older doing nothing today?
Don't you want to stop complaining?
If one is easy, then hard is two
No one knows where you're heading to
Once my private collection, always betting on you

No consolation prizes
Spit out your lies and chewing gum
Cut off your hair, yeah, that's it
If you look like that, I swear I'm going to love you more

I thought about this for a long time
I never had the chance to try and make it better
My heart is waiting for a new you
And there is no other option on the schedule
Love like ours should never die with years
Once you start, you can't ever go backwards
'Cause if dark is one, then bright is two
No one knows where we're heading to
No matter what it takes, never give up on you, oh

I want you to change it all
I'm going to make it better

No consolation prizes
Spit out your lies and chewing gum
Cut off your hair, yeah, that's it
If you look like that, I swear I'm going to love you more
No consolation prizes
Spit out your lies and chewing gum
Cut off your hair, yeah, that's it
If you look like that, I swear I'm going to love you more

And more, and more, and more, and more, and more
And more, and more, and more, and more, more"
sarcastic;;Humor and Playfulness;Complex and Mysterious;"
My oh my, I'm seeing the potential
Let's just see what we can do
First we'll take you down back to the meathouse
And then you'll hold their hands again
I know tricks that you can only dream of
It looks like it's your lucky day

A killer key change
Is all you'll ever need

Who needs enemies
When you've got friends
And now your hands are tied
And who needs accidents
When you've got me
Now I'm on your side

Now let's try and teach you how to mingle
Then we'll teach you how to kill
Lies will always be your best of best friends
You'll never be alone again

A killer key change
Is all you'll ever need

Who needs enemies
When you've got friends
And now your hands are tied
And who needs accidents
When you've got me
Now I'm on your side

All these animals
That you call friends
Now they're on their knees
Man, you tricked 'em all
You played the fool
So damn easy to please

Made my name in function rooms
And drifted through the walls
Come on, let me teach you, boy
Teach you 'bout it all
Who needs enemies
When you've got friends
And now your hands are tied
And who needs accidents
When you've got me
Now I'm on your side

All these animals
That you call friends
Now they're on their knees
Man, you tricked 'em all
You played the fool
So damn easy to
Please"
witty;;Humor and Playfulness;Positive Sentiments;"Aaaaaaaaaaaaaah
I put the sun back in your life
Made the wrong seem right
And that is why you love me
You made the beautiful seem plain
Leave me sheets to change
And that is why I love you
I'm naturally red don't you know
Been on TV and once I was up for Vogue
Been interviewed by every Tom Dick and Harris
Living on the side of Paris
I put the moon back in your life
Made the future bright
And that is why you love me
You put the magic in my tricks
You're my morning fix
And that is why I love
Cos it's not the way that I wear my hear
And I like to sleep in my underwear
Could it be the way that I spell my name
Could it be my weakness for Michael Caine
Expelled from all of the best schools
You failed with them but to me you're no fool
You dress yourself in tailored suits and blue addidas
Driving sixties Porsche two-seaters
I put the sun back in your life
Made the wrong seem right
And that is why you love me
You make a psychopath seem sane
When he's naked in the rain
And that is why I love you
Cos it's not the way that you make me laugh
When you put my hairdryer in the bath
Could it be the way that you love to please
When I've got your hand wrapped around my knees
Cos it's not the way that I park my car
Could it be the fact that I live on Mars
Could it be the way that I cut off drugs
Could it be I make you a little crazy
Yeah"
energetic;HighEnergy/Intensity;Excitement and Energy;Energetic and Exciting;"And it's your only day, do you got all the truth?
Oh you never feel the way you were...
I must have seen it, it's so familiar
Oh she looks so familiar
Must have seen it, oh you look so familiar
I must have seen her face before, I fell in love when I was born
Now they hide her with a whisper, it's over
So it goes, never been a better time might as well make it now?
Oh it's your only day & you got all the truth
Oh you'll never feel the way you were
Now it's your only day is it all the truth?
Oh you never feel the way you were
The dead hand of the past only wishes to control your future
I must have seen it, it's so familiar
Oh it looks so familiar
Must have seen it"
gloomy;Dark/Negative;;Negative Sentiments;"Caress - but he don't see
My occasion being sweet for him like candy
Caress - it's a heartbreak-man
Achiever - in me
It's a gentleman - feet to his hairtips
Don't tell me - cause these are my own risks
Let me learn - it on myself
Achiever - in me
Caress - please don't break in
He's one of my favourite-men
Caress - there's no better feel
Achiever - in me
Want him not to stop - no never
If i'm a pot he must be the cover
Caress - only thing I need
Achiever - in me
He's like Robbie Williams but even stronger
Feel him inside feels like a banger
Makes me cheeky - and reeling down
Achiever - in me
Ich kann nichts anderes denken, die Welt zerbricht in mir
Vergangenheit und zukunft erfüllt von lust und gier
Ich will nicht, daß du da bist - hast mich in deiner hand
Nicht lang und du hast mich genau erkannt
Achiever in me - got my flesh and blood
Now it can be - I thank god!
Achiever in me - it's a super hot
Achiever - in me
Do you have a lighter
Or have a boyfriend
This words don't promise your achievement
It's a lover - only thing I need
Achiever - in me"
driving;HighEnergy/Intensity;Excitement and Energy;Energetic and Exciting;"Mark Foley was right
There are no ghosts in this town
There is no reason to fear
There are no obstacles here
Mark Foley was right
There are no barriers for medicine
Mark Foley was right
There are no barriers for shame, shame!
Audience, please!
Every minute matters
Audience, please!
Every minute matters
Audience, please!
Every minute matters
Audience, please!
Every minute matters, every minute matters
Every minute matters, every minute matters
Mark Foley was right
There are no ghosts in this town
There is no reason to fear
There are no obstacles here
Mark Foley was right
There are no barriers for medicine
Mark Foley was right
There are no barriers for shame, shame!
Audience, please!
Every minute matters
Audience, please!
Every minute matters
Audience, please!
Every minute matters
Audience, please!
Every minute matters, every minute matters
Every minute matters, every minute
All he ever wanted was a detonator
All he ever wanted was a detonator
Now Colin! (Colin!)
Colin, Colin
Colin is a pussy
A very pretty pussy
Colin is a pussy
A very pretty pussycat
Colin is a pussy
A very pretty pussy
Colin is a pussy
A very pretty pussycat
Colin is a wide eyed, wanton, hopped up
Hole of hail and hate
Felt him slip down the back of my leg
Found his hair by the castanets
Made him mad from silence, made him
Sick of the constant calm
Heard him sigh in the dead of the night
It's times like these that make him wish I'd fail"
positive;Positive/Uplifting;Positive Emotions;Positive Sentiments;"Sunshine takes me to a place where I
Living free
Something in your eyes is telling me
This is where I want to be
But I never thought it would be so
Sweet
Sweet
Sweet
Don't wake me please
It's funny how it just gets sweeter and sweeter
Day by day
It's sweet how you just get funnier to me in every way
But I never thought it would be so
Sweet
Sweet
Sweet
Don't wake me please
Sweet
Sweet
Sweet
I'm covered in gold
It's so rare to find someone who brings in the sunshine the way you do it so
Sweet
Sweet
Sweet
Don't wake me please
Sweet
Sweet
Sweet
I'm covered in gold"
spiritual;;;Calm and Peaceful;"There ohhhh yea yea ohhhh
Sometimes we must go
We must look at our situations lady
And how could u make me chose
Between you and my first life
There's so many others
Wishing that they can raise their families
All first at the same
And playing and traveling
But you keep me within chain
Holding, keeping me from leaving
I hope for the day
When you and I can agree
And we can live like we ardor be
Girl its all for u
And you call me
Fame 
Ohh "
exotic;;;Complex and Mysterious;"
It feels quite you
When you're drowned in darkness
Lust overwhelming you
I stand astounded
Feelings' slackness
Just scanning the next truth

You're craving for my sex
(In) your lost soul's inner depths
For you're in your first real false steps
You've never died before

Do what you do
Just 'cause they see it all wrong
Convinced once more it's you
Seeing when you wanna see
You need to belong
Right things on time for you

So tell me who you are
Before we get that far
Drop your disguise for my surprise
That s what I m longing for

Life on the edge for you
To see beyond the hedge
Please tell me who you are
Not any truth that bends
You always do what you do
Just 'cause they see it wrong
Please babe I'm not that strong
Drop your disguise for my surprise

No intention to hide
So twisted inside
Next strong wind to ride"
relaxed;;Positive Emotions;Positive Sentiments;"Ten year volunteer, I want the job to disappear for good
Love won't compensate for all the things we never say
And all the things we should
Bottom line it might be time for you and I to say goodbye to what we did
And what we never tried
Sunlight, silhouettes, and dogwood trees
Swayin' all alone in the Carolina breeze
I asked for your hand and you asked for a plea
Tell me now girl is this the way it's gonna be
Open heart, open door, choose whatever metaphor you like
Hear me out before you go, I never meant this shit before: I lied
When all is said and all is done you always were the only one that understood
The way this song was sung
Sunlight, silhouettes and dogwood trees
Swayin' all alone in the Carolina breeze
I asked for your hand and you asked for a plea
Tell me now girl is this the way it's gonna be
Sunlight, silhouettes and dogwood trees
Swayin' all alone in the Carolina breeze
I asked for your hand and you asked for a plea
Tell me now girl do I stay or do I leave"
spiritual;;;Calm and Peaceful;"I ran around the room again
I ran outside and ran back in
And I just couldn't get away from myself
I don't care what tomorrow brings
I won't back down for anything
I want to think that I was made for something else
I can't wait anymore
I'm ready to reach
So I'm closing the door behind me
All that I can do is hold onto you
And follow where you lead
Where you're leading me
All that I can do is hold onto you
And let you bring me through
It's all that I can do
There are days I think I don't need you
There are days when I can't see the truth
I need you to save me from the lies
Because every thought that's in my head
And even when I draw my next breath
You knew it all before there was time
I can't wait anymore
I'm ready to reach
So I'm closing the door behind me
All that I can do is hold onto you
And follow where you lead
Where you're leading me
All that I can do is hold onto you
And let you bring me through
It's all that I can do
When the waves begin to rise
And all my hope fails
In confidence I'll close my eyes
Trusting you'll be there
All that I can do is hold onto you
And follow where you lead
Where you're leading me
All that I can do is hold onto you
And let you bring me through
It's all that I can do"
scary;Dark/Negative;Negative Emotions;Negative Sentiments;"
Why do you never stay?
If I need you, you run away
You leave me standing in the pouring rain
Why do I wait for you?
I see you visited my friends
They’re singing ballads of your compliments
If you’re not coming soon around the bend
I’ll be changing my tune

So if you come back, looking for me
Come fast -
Tell me you won’t run away no more
Cause I’m a lock, baby
You’re the key
I’m lost -
Come and find me
Cause I’m what you’re looking for
So don’t make me wait anymore

I saw you just the other day
But as I called to you, you walked away
Oh I wanted to put you in your place
But you were nowhere to be found
And now my patience is worn out
From all your silence and all my doubt
But I would give it up to hear you out
Oh how I miss the sound

So if you come back, looking for me
Come fast -
Tell me you won’t run away no more
Cause I’m a lock, baby
You’re the key
I’m lost -
Come and find me
Cause I’m what you’re looking for
So don’t make me wait anymore

So if you come back, looking for me
Come fast -
Tell me you won’t run away no more
Cause I’m a lock, baby
You’re the key
I’m lost -
Come and find me
Cause I’m what you’re looking for
So don’t make me wait
If you come back, looking for me
Come fast -
Tell me you won’t run away no more
Cause I’m a lock, baby
You’re the key
I’m lost -
Come and find me
Cause I’m what you’re looking for
So don’t make me wait anymore
So don’t make me wait anymore
So don’t make me wait anymore"
erotic;;;Energetic and Exciting;"I put my hand o-on her knee
And she says, do you want to see?
I put my hand o-on her breast
And she says, do you want a kiss?
(Chorus)
Gently, gently
Gently Johnny
Gently Johnny
My giggalo
I put my hand o-on her thigh
And she says, do you want to try?
I put my hand o-on her belly
And she says, do you want to fill me?
(Chorus)
Gently, gently
Gently Johnny
Gently Johnny
My giggalo"
hypnotic;;;Energetic and Exciting;"I don't think it's right
Lettin' love ruin my life
But I don't think it's wrong
Gettin' a little revenge in a song
It hurts, don't lie
Who you gonna run to?
Who you gonna run to now?
You know I woulda died for you for you
But it wasn't like you loved me anyhow
You know I'm right
You know I'm right
Maybe I been wrong
Maybe I been livin a little headstrong
But no it isn't right
(Start) Startin' a war by avoiding a fight
It hurts, don't lie
Who you gonna run to?
Who you gonna run to now?
You know I woulda died for you
But it wasn't like you loved me anyhow
You know I'm right
You know I'm right
Who you gonna run to?
Who you gonna run to now?
Who you gonna run to?
Who you gonna run to now?
Who you gonna run to?
Who you gonna run to now?
(you know I'm right)
Who you gonna run to?
Who you gonna run to now?
(you know I'm right)"
sad;Pensive/Emotional;Negative Emotions;Negative Sentiments;"
You touch these tired eyes of mine
And map my face out line by line
And somehow growing old feels fine
Listen close for I'm not smart
You wrap your thoughts in works of art
And they're hanging on the walls of my heart

I may not have the softest touch
I may not say the words as such
And though I may not look like much I'm yours

And though my edges may be rough
I never feel I'm quite enough
It may not seem like very much but I'm yours

You healed these scars over time
Embraced my soul, you loved my mind
You're the only angel in my life
The day news came, my best friend died
My knees went weak and you saw me cry
Say I'm still the soldier in your eyes

I may not have the softest touch
I may not say the words as such
And though I may not look like much I'm yours

And though my edges may be rough
I never feel I'm quite enough
It may not seem like very much but I'm yours

I may not have the softest touch
I may not say the words as such
I know I don't fit in that much but I'm yours"
dramatic;HighEnergy/Intensity;;Energetic and Exciting;"Would you stand up for me?
So I can see everything
What's making you scream?
Are you breathing?
Is it what you're seeing?

Come on
Don't spend your whole life waiting for your whole life
Thinking that it's over
...are you breathing?
When you gave up on me
Were you happy?
Could you ever be?
Was it making you mean?
It's just a dream...
Just a dream

Don't spend your whole life waiting for your whole life
Thinking that it's over
...are you breathing?
Sometimes I get so lost and I can't fight but who i trust and
What's life or a dream?
What's life or a dream?
I ran away to tell the world
And everyday, everyday, everyday...
I ran away to tell the world
That I'm lonely

Come on
Don't spend your whole life waiting for your whole life
Thinking that it's over
You went and spent your whole life waiting for your whole life
Thinking that it's
Come on
Don't spend your whole life waiting for your whole
Thinking that it's alright
Waiting for you whole life
You can spend your whole life
Waiting for youre whole life
Thinking that it's over, over
That it's over, over"
peaceful;;Calm and Peaceful;Calm and Peaceful;"I saw you the other day
And you were dreaming and that's okay
I saw you the other day
You were sleepin' on a boat but that's okay
Because I do like you
I do like you today
I saw you the other day
And you were tearful but that's okay
Saw you the other day
And you were screaming with laughter but that's okay
Coz I do like you
I do like you today
Because I do like you
I do like you
Pa pa para pa pa pa (x3)
Pa pa
I saw you the other day
And you were drinking whisky but that's okay
And I saw you the other day
And you were falling all over but that's okay
Coz I do like you
I do like you today
Because I do like you
I do like you
I close my eyes
So I'm not seeing
I shut my ears
So I'm not hearin'
I close my eyes
So I'm not seein'
You're out of reach
And now I'm bleeding (x2)
I close my eyes
I close 'em
I close my eyes
I close my eyes
I close them
Because I do like you
I do like you today
Because I do like you
I do like you
Pa pa para pa pa pa (x8)"
bright;Positive/Uplifting;Positive Emotions;Positive Sentiments;"This romance is fading
I'm tired of complaining
Every single move you make
Ends up being a big mistake
You constantly embarass me
Infront of friends and family
But i'm not quite ready to let go
If we rewind and start again
Will things be any different?
Our love sometime will start and end
Will it go on if we try again?
If we could rewind all that's happened
I'd still make all the same mistakes
I've tried my hardest since we started
I'd do the same if we replayed the tape
I'm stll remember
The first thing
I loved about you
But can your smile save our love
From the problems i speak of
If we rewind and start again
Will things be any different?
Our love sometime will start and end
Will it go on if we start again?
If we could rewind all that's happened
I'd still make all the same mistakes
I've tried my hardest since we started
I'd do the same if we replayed the tape
Instead of rewind
I'd like to remind
You of all the good times that we've seen
And if you're still sore
Try fastforward
And see how empty your life will be without me
Without me
Without me"
positive;Positive/Uplifting;Positive Emotions;Positive Sentiments;"
I should have known
You'd bid me farewell
There's a lesson to be learned from this
And I learned it very well
Now, I know you're not
The only starfish in the sea
If I never hear your name again
It's all the same to me

And I think it's gonna be alright
Yeah, the worst is over now
The mornin' sun is shinin'
Like a red rubber ball

You never care
For secrets I confide
For you, I'm just an ornament
Something for your pride
Always runnin', never carin'
That's the life you live
Stolen minutes of your time
Were all you had to give

And I think it's gonna be alright
Yeah, the worst is over now
The mornin' sun is shinin'
Like a red rubber ball

The story's in the past
With nothing to recall
I've got my life to live
And I don't need you at all
The rollercoaster ride we took
Is nearly at an end
I bought my ticket with my tears
That's all I'm gonna spend

And I think it's gonna be alright
Yeah, the worst is over now
The mornin' sun is shinin'
Like a red rubber ball, woah, oh, oh
Oh, I think it's gonna be alright
Yeah, the worst is over now
The morning sun is shining
Like a red rubber ball"
powerful;HighEnergy/Intensity;;Complex and Mysterious;"
This is us at our best and at our worst
And when we speak, does it feel unrehearsed?

'Cause where I wanna be is far apart
From where we are
From where we are
And I thought I found the place where we could start
Talk from the heart
Talk from the heart

But you just say I'm perfect
Say I'm pretty
Say I'm worth it
But if you really care for me

Say ""love""
I want you to say ""love""
I want you to say ""love""
When I say ""love you""
You just say ""me too""
But I want you to say ""love""

It feels like we can't get out of first
When we do, it's like we're stuck in reverse, oh

'Cause where I wanna be is far apart
From where we are
From where we are
And I thought I found the place where we could start
Talk from the heart
Talk from the heart

But you just say I'm perfect
Say I'm pretty
Say I'm worth it
But if you really care for me

Say ""love""
I want you to say ""love""
I want you to say ""love""
When I say ""love you""
You just say ""me too""
But I want you to say ""love""
Oh woah
Oh woah
Hey, yeah, yeah
Woah, woah, woah
Oh no, hey

But you just say I'm perfect (Mm)
Say I'm pretty (You can say I'm pretty, baby)
Say I'm worth it (What does it mean?)
But if you really care for me

Say ""love""
I want you to say ""love""
I want you to say ""love""
When I say ""love you"" (Say)
You just say ""me too"" (Oh)
But I want you to say ""love"""
playful;Positive/Uplifting;Positive Emotions;Positive Sentiments;"I wanna be your TV
Then you would know exactly how
To turn me on
With my remote control
You would know the function
Of all my buttons
Cause I've seen you doin' it
And oh, I'd love to be
Your shower in the morning
Or the blankets on you bed
I would keep you warm all night
But most of all
I wanna be
Most of all
I wanna be...
I wanna be your guitar!
Then you would know exactly how to tune me
When I'm screaming only blue notes
You'd know where to put your fingers
Cause I've seen you doin' it
Together we could write a song
And travel around the world
To find people who will sing along
Lalalalalalalalala!
Ohoh, most of all
I wanna be
Oh most of all
I... I wanna be your guitar!"
delicate;;;Calm and Peaceful;"Oh lover it's a lovely night
But outside the sky's still light
If we just sit and stare
We could take a walk through London
Into Regent's Park or thereabouts
To watch the crowds I've heard have gathered there
Love makes your world go round
Mine will chase you down
Puts mirrors in your eyes
Which I smash against the ground
And any fool will know
That smashing people's hearts
Can be so much more fun
Than breaking people's bones
Baby just don't stray too far
You're helpless on your own
These people want to change things
They're dangerous to know
They'll fill your tiny head with rubbish
Take you clean away from me
There's not much that I own
But I'd like to think that I own you
Have I ever told you
I only see my face
When I look into your eyes?
Well how can I forgive your open legs
Which stopped me dead in my tracks
Like a flytrap traps a passing fly
And have you ever noticed
How we never ever swallow anybody's lies?
God, that makes me strong
And now we've cleared the air
Let's stay to watch the penalties dispatch
Punching women kicking men
Five on one, one on ten
These fuckers getting all that they deserve
It's just tricks with mirrors
That makes them think they're in the right
But we know different and who's to argue
On such a lovely night?"
hypnotic;;;Energetic and Exciting;"Thirteen gather on a moonless night
The morning star is burning bright
Doom-mantia
Doom-mantia
Followers, they sing and dance
The pipes of Pan have weaved a trance
Dressed in black
No turning back
Dressed in black
No turning back
Doom-mantia
Doom-mantia
Doom-mantia
Doom-mantia
Doom-mantia
Doom-mantia
Doom-mantia
Doom-mantia
Doom-mantia
Doom-mantia
Doom-mantia
Doom-mantia
Doom-mantia
Doom-mantia
Doom-mantia
Doom-mantia
Doom-mantia
Doom-mantia
Doom-mantia
Doom-mantia
Doom-mantia"
spiritual;;;Calm and Peaceful;"(I just wanna say)
I just wanna, I just wanna
I just wanna go back now
I just wanna go back now baby, baby
The season may come and your luck just may run out
And all that you'll have is a memory (oh, oh, oh)
The seasons may come and your luck just may run out (uuh, yeah)
And all that you'll have is a memory (oh yeah  baby, oh)
The seasons may come and your luck just may run out (oh, yeah)
And all that you'll have is a memory (oh, oh)
The seasons may come and your luck just may run out (baby)
And all that you'll have is a memory, oh
Shabada, da, da, da, da, da...
Hey, hey, hey
Hey, hey, hey
Hey, hey, hey
Used to get real high
Now I'm just getting a buzz
Used to get real high
Now I'm just getting a buzz
Used to get real high
Now I'm just getting a buzz
I-I-I-I-I-I-I-I-I
Used to get real high
Now I'm just getting a buzz
Used to get real high
Now I'm just getting a buzz
Used to get real high
Now I'm just getting a buzz
Never wanna get"
sentimental;;Positive Emotions;Positive Sentiments;"As recorded at Las Vegas in June, 1955
When I'm feeling weary and blue, I'm only too
Glad to be left alone
Dreaming of a place in the sun when day is done
Far from a telephone
Hardly ever see the sky
Buildings seem to grow so high
Give me somewhere peaceful and grand
Where all the land
Slumbers in monotone
I'm world weary, world weary, living in a great big town
I find it so dreary, so dreary
Everything looks grey or brown
I want an ocean blue
Great big trees
Bird's eye view of the Pyrenees
I wanna watch the moon rise up
See the great red sun go down
Watching clouds go by through a windy sky fascinates me
But if I do it in the street every cop I meet simply hates me
Because I'm world weary, world weary
Tired of all these jumping jacks
I wanna get right back to nature and relax
I'm world weary, world weary, living in a great big town
I find it so dreary, so dreary
Everything looks grey or brown
I want a horse and plow, chickens too
Just one cow with a wistful moo
A country where the verb ""to work""
Becomes a most improper noun
I can hardly wait till I see the great open spaces
My loving friends will not be there I'm so sick of their damned fool faces
Because I'm world weary, world weary
I could kiss the railroad tracks
I wanna get right back to nature
Assume a horizontal stature
I wanna get right back to nature and relax"
aggressive;HighEnergy/Intensity;Negative Emotions;Negative Sentiments;"
In a taxi chasing for the sun
All around us strangers everyone
With no hope for what they hope for
We could drive all of our tears away

Oh-oh-ho, run, run away, maybe we could run away
Oh-oh-ho, run, run away, maybe we could run away
Oh, oh-oh

In a taxi ride that ends too soon
The city skyline tries to kick the moon
We've no time for what they wait for
We can drive all of our tears away

Oh-oh-ho, run, run away, maybe we could run away
Oh-oh-ho, run, run away, maybe we could run away
Oh, oh-oh

You and I against the walled-in generation
You and I could kick the walls away
We've no time for what they wait for
We can run fast, we can run far

Oh-oh-ho, run, run away, maybe we could run away
Oh-oh-ho, run, run away, maybe we could run away
Oh-oh-ho, run, run away, maybe we could run away
Oh-oh-ho, run, run away, maybe we could run away
Oh, oh-oh, oh, oh, oh"
intense;HighEnergy/Intensity;Excitement and Energy;Energetic and Exciting;"Downloading doves on your fancy computer
You're shooting for love in the dark
Hey Foks you've found her now go instant message
Her name is a pretty good start
Ultima sits in her bedroom in Texas and
Waits for her hamsters to touch
She lost her legs in a car crash three years ago
She doesn't get around much
But she is hoping someday
Somebody will take her away
Now that you got her  address you can send her
A matching attachment and face
Slick rhododendrons you make out of paper
With flowers that never lose shape
You have a video camera strapped to
Your forehead in case she is true
Smiling rewind as we die in slow motion
(As if its not happening to you)
Don't be afraid of the dark ages darling
You may have to wait but a letter is coming
With mixes of Marilyn songs
And pictures she took at the prom
Knowing her name is enough...
Ultima...
Foks trotting globes rotting under my fingertips
Tapping for oil in veins
Surely you won't think to hold that against me
It's such an unusual name
Someone is hoping to find
Her limbs in an auction online
Knowing her name is enough...
Ultima Esperanza
Ultima Esperanza"
melancholy;Pensive/Emotional;Negative Emotions;Negative Sentiments;"
When you’re dreaming with a broken heart
The waking up is the hardest part
You roll out of bed and down on your knees
And for a moment, you can hardly breathe
Wondering, “Was she really here?
Is she standing in my room?”
No she’s not
‘Cause she’s gone, gone, gone, gone, gone

When you’re dreaming with a broken heart
The giving up is the hardest part
She takes you in, with her crying eyes
Then, all at once, you have to say goodbye
Wondering, “could you stay my love?
Will you wake up by my side?”
No she can’t
‘Cause she’s gone, gone, gone, gone, gone

Now, do I have to fall asleep with roses in my hand?
Do I have to fall asleep with roses in my hand?
Now, do I have to fall asleep with roses in my hand?
Do I have to fall asleep with roses in my, roses in my hands?
And would you get them if I did?
No you won’t
‘Cause you’re gone, gone, gone, gone, gone

When you’re dreaming with a broken heart
The waking up is the hardest part"
spooky;Dark/Negative;;Complex and Mysterious;"
I will never see you again
You're mad cause I will not leave you alone
Making eye contact
You're mad cause I will not leave you alone
Many years before
(I will never see you again)
I know your skin like my own

Making eye contact
I will never see you again
I will never see again
You're mad cause I will not leave you alone
Many years before

Making eye contact
I will never see you again
Though I've lived here many years before
I know your skin like my own
Many years before
(I will not leave you alone)

Making eye contact
I will never see you again"
ironic;Quirky/Unconventional;Humor and Playfulness;Complex and Mysterious;"She was hungry so hungry
She was trying to think clear
She kept opening the fridge door
Looking at the mustard and the beer
Then finally she went out into the rain
Carrying her bicycle chain
And her feet worked the pedals
While her appetite steered
After that she just followed her nose
And fate is not just whose cooking smells good
But which way the wind blows
She laid down in her party dress and never got up
Needless to say she missed the party
She just got sad
Then she got stuck
She was wincing like something brittle trying hard to bend
She was numb with the terror of losing her best friend
But we never see things changing
We only see them ending
And some vicious whispering voice
Keeps saying you have no choice
You have no choice
Cuz when i look at you i squint
You are that beautiful
And my pussy is a tractor
And this is a tractor pull
I'm haunted by my illicit, explicit dreams
And i can't really wake up
So i just drift in between
Thinking the glass is half empty
And thinking it's not quite full
The pouring rain is no place for a bicycle ride
Try to hit the brakes
And you slide
And you slide
And you slide"
quirky;Quirky/Unconventional;Humor and Playfulness;Energetic and Exciting;"Baby I don’t know
Just why I love you so
Maybe it’s just the way
That God made me this day

Eh oh eh oh eh
Eh oh eh oh eh
Honey I need you
And I feel for you
It won’t be too long till
That I ask what again
2X 
Eh oh eh
Eh oh eh
Baby I don’t know
Just why I love you so
Maybe it’s just the way
That God made me this day
4X "
