Sentiment,Song Title,Artist
Love,She Will Be Loved,Maroon 5
Love,Wonderful World,Sam Cooke
Love,Hero,Enrique Iglesias
Love,Love Story,Taylor Swift
Love,Thinking Out Loud,Ed Sheeran
Love,Just the Way You Are,Bruno Mars
Love,All of Me,John Legend
Love,Endless Love,Diana Ross and Lionel Richie
Love,Unchained Melody,The Righteous Brothers
Love,I Will Always Love You,Whitney Houston
Love,Your Song,Elton John
Love,I Don't Want to Miss a Thing,Aerosmith
Love,My Heart Will Go On,Celine Dion
Love,A Thousand Years,Christina Perri
Love,Perfect,Ed Sheeran
Love,Something,The Beatles
Love,Crazy in Love,Beyoncé ft. Jay-Z
Love,Can't Help Falling in Love,Elvis Presley
Love,Endless Love,Lionel Richie & Diana Ross
Love,When a Man Loves a Woman,Percy Sledge
Love,How Deep Is Your Love,Bee Gees
Love,I Just Called to Say I Love You,Stevie Wonder
Love,You're Still the One,Shania Twain
Love,Kiss Me,Sixpence None The Richer
Love,Marry Me,Train
Love,Wonderful Tonight,Eric Clapton
Love,I Want to Know What Love Is,Foreigner
Love,You Are the Best Thing,Ray LaMontagne
Love,Make You Feel My Love,Adele
Love,Let's Stay Together,Al Green
Love,Truly Madly Deeply,Savage Garden
Love,Unforgettable,Nat King Cole
Love,More Than Words,Extreme
Love,God Only Knows,The Beach Boys
Love,At Last,Etta James
Love,You're Beautiful,James Blunt
Love,The Way You Look Tonight,Frank Sinatra
Love,Just the Two of Us,Bill Withers
Love,Endless Love,Luther Vandross & Mariah Carey
Love,Everything,Michael Bublé
Love,Can't Take My Eyes Off You,Frankie Valli
Love,Have I Told You Lately,Van Morrison
Love,I Could Fall in Love,Selena
Love,My Girl,The Temptations
Love,I Don't Want to Miss a Thing,Aerosmith
Love,You Make My Dreams,Hall & Oates
Love,Breathe Faith Hill
Love,Amazed,Lonestar
Love,The Power of Love,Celine Dion
Love,Time After Time,Cyndi Lauper
Love,She Will Be Loved,Maroon 5
Love,Wonderful World,Sam Cooke
Love,Hero,Enrique Iglesias
Love,Love Story,Taylor Swift
Wistful,The Night We Met,Lord Huron
Wistful,Someone Like You,Adele
Wistful,Yesterday,The Beatles
Wistful,Tears in Heaven,Eric Clapton
Wistful,Nothing Compares 2 U,Sinéad O'Connor
Wistful,Hurt,Johnny Cash
Wistful,Back to December,Taylor Swift
Wistful,Fix You,Coldplay
Wistful,Chasing Cars,Snow Patrol
Wistful,With or Without You,U2
Wistful,Hallelujah,Jeff Buckley
Wistful,Let Her Go,Passenger
Wistful,Stay With Me,Sam Smith
Wistful,Skinny Love,Bon Iver
Wistful,I Will Remember You,Sarah McLachlan
Wistful,Mad World,Gary Jules
Wistful,Everybody Hurts,R.E.M.
Wistful,The Scientist,Coldplay
Wistful,Creep,Radiohead
Wistful,Somebody That I Used to Know,Gotye ft. Kimbra
Wistful,Landslide,Fleetwood Mac
Wistful,Fast Car,Tracy Chapman
Wistful,If I Ain't Got You,Alicia Keys
Wistful,Against All Odds (Take a Look at Me Now),Phil Collins
Wistful,Wish You Were Here,Pink Floyd
Wistful,Wild Horses,The Rolling Stones
Wistful,Don't Dream It's Over,Crowded House
Wistful,Let It Be,The Beatles
Wistful,The A Team,Ed Sheeran
Wistful,Teardrop,Massive Attack
Wistful,I'm Not the Only One,Sam Smith
Wistful,The Blower's Daughter,Damien Rice
Wistful,Fields of Gold,Sting
Wistful,The Book of Love,Peter Gabriel
Wistful,Lost Cause,Beck
Wistful,Blackbird,The Beatles
Wistful,Shadow of the Day,Linkin Park
Wistful,No Surprises,Radiohead
Wistful,To Build a Home,The Cinematic Orchestra
Wistful,Between the Bars,Elliott Smith
Wistful,Under the Bridge,Red Hot Chili Peppers
Wistful,Wild World,Cat Stevens
Wistful,Pictures of You,The Cure
Wistful,Brothers in Arms,Dire Straits
Wistful,Half of My Heart,John Mayer
Wistful,I Will Follow You into the Dark,Death Cab for Cutie
Wistful,The Only Exception,Paramore
Wistful,Here Without You,3 Doors Down
